#Time	T1	T2	T3
11 12 13	685.3	773.5	350.8
11 12 14	685.3	773.4	350.7
11 12 15	685.3	773.3	350.6
11 12 16	685.3	773.2	350.6
11 12 17	685.2	773.2	350.5
11 12 18	685.2	773.2	350.4
11 12 19	685.2	773.1	350.3
11 12 20	686.6	773	350.2
11 12 21	687.9	772.9	350.1
11 12 22	688.6	772.9	350
11 12 23	687.4	772.8	349.9
11 12 24	685.8	772.8	349.9
11 12 25	684	772.7	349.8
11 12 26	684	772.7	349.7
11 12 27	679.9	772.6	349.6
11 12 28	677.2	772.5	349.5
11 12 29	676	772.5	349.4
11 12 30	676	772.4	349.4
11 12 31	676	772.3	349.3
11 12 32	682	772.3	349.2
11 12 33	681.4	772.3	349.1
11 12 34	681.4	772.2	349
11 12 35	676.9	772.1	348.9
11 12 36	673.9	772	348.7
11 12 37	669.8	771.9	348.6
11 12 38	668	771.9	348.6
11 12 39	661.2	771.8	348.5
11 12 40	646	771.8	348.4
11 12 41	647.5	771.7	348.3
11 12 42	647.5	771.6	348.2
11 12 43	647.5	771.5	348.1
11 12 44	641.9	771.5	348
11 12 45	642.5	771.4	347.9
11 12 46	650.8	771.3	347.9
11 12 47	654.9	771.2	347.8
11 12 48	654.9	771.2	347.7
11 12 49	643.8	771.1	347.6
11 12 50	645.5	771	347.5
11 12 51	642.8	771	347.4
11 12 52	652.4	770.9	347.3
11 12 53	637.1	770.8	347.3
11 12 54	639.5	770.8	347.3
11 12 55	653.3	770.7	347.2
11 12 56	653.3	770.6	347.1
11 12 57	650.4	770.5	347
11 12 58	634.9	770.5	347
11 12 59	624.7	770.4	346.9
11 13 00	641.9	770.3	346.9
11 13 01	614.2	770.2	346.8
11 13 02	619	770.2	346.7
11 13 03	625.9	770.1	346.6
11 13 04	625.9	770	346.5
11 13 05	622.7	770	346.5
11 13 06	616.5	769.9	346.4
11 13 07	613	769.8	346.3
11 13 08	598.1	769.7	346.3
11 13 09	597.5	769.7	346.2
11 13 10	608	769.7	346.1
11 13 11	510.3	769.6	346.1
11 13 12	510.3	769.5	346
11 13 13	529.8	769.5	345.9
11 13 14	430.7	769.4	345.8
11 13 15	417.5	769.3	345.8
11 13 16	389.5	769.2	345.8
11 13 17	382.6	769.1	345.7
11 13 18	382.6	769.1	345.6
11 13 19	381.8	769	345.6
11 13 20	381.8	768.9	345.5
11 13 21	381.8	768.8	345.4
11 13 22	381.8	768.8	345.4
11 13 23	381.2	768.7	345.3
11 13 24	381.2	768.7	345.3
11 13 25	381.2	768.6	345.3
11 13 26	381.2	768.5	345.2
11 13 27	381.2	768.4	345.2
11 13 28	380.4	768.3	345.1
11 13 29	380.4	768.3	345
11 13 30	379.8	768.2	345
11 13 31	379.2	768.1	345
11 13 32	379.2	768.1	344.9
11 13 33	383.6	768	344.9
11 13 34	383.6	767.9	344.9
11 13 35	390	767.8	344.8
11 13 36	392.9	767.7	344.8
11 13 37	392.9	767.6	344.8
11 13 38	392	767.5	344.8
11 13 39	392	767.4	344.7
11 13 40	393	767.4	344.7
11 13 41	397	767.4	344.6
11 13 42	397	767.3	344.6
11 13 43	400.8	767.2	344.5
11 13 44	402	767.1	344.5
11 13 45	399.3	767	344.4
11 13 46	397.6	767	344.4
11 13 47	397.6	766.9	344.4
11 13 48	397.6	766.9	344.3
11 13 49	397.6	766.8	344.2
11 13 50	390.3	766.7	344.1
11 13 51	395.7	766.6	344
11 13 52	403.1	766.6	343.9
11 13 53	404.2	766.5	343.8
11 13 54	404.2	766.5	343.8
11 13 55	403.1	766.4	343.6
11 13 56	403.1	766.3	343.5
11 13 57	401.2	766.2	343.4
11 13 58	391.3	766.1	343.3
11 13 59	396.8	766	343.2
11 14 00	403.1	765.9	343.2
11 14 01	403.1	765.8	343.1
11 14 02	403.1	765.8	343
11 14 03	404.9	765.7	342.9
11 14 04	404.9	765.6	342.8
11 14 05	415.5	765.5	342.7
11 14 06	414.3	765.4	342.6
11 14 07	414.3	765.4	342.4
11 14 08	417.5	765.3	342.4
11 14 09	416.9	765.2	342.3
11 14 10	416.9	765.2	342.2
11 14 11	416.9	765.1	342.1
11 14 12	416.9	765	342
11 14 13	441.3	764.9	342
11 14 14	445.5	764.8	341.9
11 14 15	448.8	764.7	341.8
11 14 16	447.9	764.6	341.8
11 14 17	447.1	764.5	341.7
11 14 18	447.1	764.5	341.7
11 14 19	445.8	764.4	341.6
11 14 20	444.7	764.3	341.5
11 14 21	444	764.2	341.4
11 14 22	443.2	764.1	341.3
11 14 23	443.2	764	341.3
11 14 24	441	764	341.3
11 14 25	440.4	763.9	341.2
11 14 26	440.4	763.8	341.1
11 14 27	440.4	763.8	341
11 14 28	445.3	763.7	340.9
11 14 29	454.8	763.6	340.9
11 14 30	463	763.5	340.9
11 14 31	462	763.4	340.8
11 14 32	457.4	763.4	340.7
11 14 33	455.7	763.3	340.7
11 14 34	455.7	763.2	340.6
11 14 35	453.7	763.1	340.5
11 14 36	452.9	763	340.5
11 14 37	452.9	762.9	340.4
11 14 38	459.1	762.8	340.4
11 14 39	456.4	762.7	340.4
11 14 40	684.7	762.7	340.3
11 14 41	187.9	762.6	340.3
11 14 42	187.9	762.5	340.2
11 14 43	666.8	762.4	340.2
11 14 44	584.1	762.3	340.1
11 14 45	556.8	762.3	340.1
11 14 46	509.6	762.2	340.1
11 14 47	505.6	762.1	340
11 14 48	505.6	762.1	339.9
11 14 49	519.2	762	339.8
11 14 50	487.4	761.9	339.8
11 14 51	469.9	761.8	339.7
11 14 52	623.2	761.7	339.6
11 14 53	723.7	761.6	339.5
11 14 54	435	761.6	339.5
11 14 55	669.7	761.5	339.5
11 14 56	669.7	761.4	339.4
11 14 57	703.6	761.3	339.3
11 14 58	723.4	761.2	339.3
11 14 59	723.4	761.1	339.2
11 15 00	723.4	761	339.2
11 15 01	723.4	760.9	339.2
11 15 02	723.3	760.9	339.1
11 15 03	723.2	760.8	339
11 15 04	723.2	760.7	338.9
11 15 05	723.1	760.6	338.8
11 15 06	723	760.5	338.7
11 15 07	722.9	760.4	338.7
11 15 08	722.8	760.3	338.7
11 15 09	722.6	760.2	338.6
11 15 10	722.5	760.2	338.5
11 15 11	722.4	760.1	338.4
11 15 12	722.4	760	338.3
11 15 13	722.2	759.9	338.2
11 15 14	722.1	759.8	338.2
11 15 15	722	759.7	338.1
11 15 16	721.9	759.6	338.1
11 15 17	721.7	759.5	338.1
